Date,Supplier,Description,Transaction value
20/10/2022,ALDL,Claiming receipt and onward distribution of UK Legal Deposit 01/10/2 to 31/12/22,27013.16
20/10/2022,FROST AND SULLIVAN LTD,Subscription 30/09/22 to 29/09/22,36376.8
31/10/2022,RICHARD IRVIN LIMITED,Maintenance works and subcontractor costs Oct 22,38919.44
31/10/2022,EX LIBRIS,Primo subscription to 31/03/23,83363.6
10/11/2022,JISC SERVICES LTD SUBSCRIPTION ACCOUNT,Subscription 01/10/22 to 30/09/23 Clarivate Analytics Web of Science,28463.86
24/11/2022,GLASGOW LIFE,Quarterly service charge - Kelvin Hall,38956.31
22/12/2022,RICHARD IRVIN LIMITED,Various subcontractor costs,43779.68
12/01/2023,PROQUEST INFORMATION AND LEARN,Subscription Dec 22 to Nov 23,49204
12/01/2023,ALDL,UK legal deposit materials quarterly charge Jan 23 to Mar 23,27013.16
19/01/2023,RICHARD IRVIN LIMITED,Various works - subcontractor costs,43779.68
26/01/2023,CENGAGE LEARNING EMEA LTD,Archive purchse,34600
31/01/2023,RICHARD IRVIN LIMITED,Part payment lift refurbishment,115111
16/02/2023,RICHARD IRVIN LIMITED,Facilities Management contract charge Jan 23,43779.68
16/02/2023,RICHARD IRVIN LIMITED,Facilities Management contract charge Feb 23,43779.68
23/02/2023,GLASGOW LIFE,Kelvn Hall service charge July to Sept 22,47495.84
23/02/2023,LEE BOYD LIMITED,Project work fire safety risk assesment,33972
23/02/2023,RICHARD IRVIN LIMITED,Project work on noise mitigation ,26236.32
16/03/2023,XMA SCOTLAND LTD,Cloud Storage - IT,130001.82
30/03/2023,EX LIBRIS,Subscriptions - IT,116708.4
16/03/2023,XMA SCOTLAND LTD,Equipment - IT,97303.68
16/03/2023,XMA SCOTLAND LTD,Equipment - IT,83612.28
31/03/2023,RICHARD IRVIN LIMITED,Lift refurbishment - George IV Building,49333.28
31/03/2023,GLASGOW LIFE,Rent - Kelvin Hall,48767.65
31/03/2023,RICHARD IRVIN LIMITED,Roofing works - Sighthill,46423.2
30/03/2023,RICHARD IRVIN LIMITED,Subcontrctor Costs - March 23,43779.68
16/03/2023,PARKS MOTOR GROUP,Electric Vehicle Purchase,43389
31/03/2023,A MCGILLIVRAY,Wall Removal - Causewayside,42876
31/03/2023,M AND J KELMAN LTD,Purchase of literary and personal papers,40000
21/03/2023,LEE BOYD LIMITED,Costs fire safety risk project,36495.49
31/03/2023,RICHARD IRVIN LIMITED,Lighting controls in reading room,36432.47
09/03/2023,ICAM ARCHIVE SYSTEMS,Phasse 1 of new camera system,33468
16/03/2023,BSI,Annual subscription,32996.26
31/03/2023,RICHARD IRVIN LIMITED,Steel plates work level 6 Cusewayside,27848.04
09/03/2023,ADAM MATTHEW DIGITAL LTD,Purchase medieval and early modern studies,26520
30-Apr-23,CAE TECHNOLOGY SERVICES LIMITED,Hitachi G200 SAN support - year subscription,25041.31
04/05/2023,RICHARD IRVIN LIMITED,Subcontrctor Costs  ,43779.68
06/06/2023,CITY OF EDINBURGH COUNCIL,Annual Rates - CB,"92,476.00"
20/06/2023,CITY OF EDINBURGH COUNCIL,Annual Rates - George IV,"48,312.80"
06/06/2023,RICHARD IRVIN LIMITED,PPM work and subcontractor cost May 23,"44,300.18"
27/06/2023,RICHARD IRVIN LIMITED,PPM work and subcontractor cost June 23,"44,300.18"
06/06/2023,EDF ENERGY,Electricity for May - CB Building,"25,617.13"
20/07/2023,ALDL,Receipt and distribution of UK legal deposit for the National Library of Scotland 1st July to 30th Sept,"29,943.99"
06/07/2023,EDF ENERGY,Electricity charge CB June 23,"28,176.67"
06/07/2023,EDF ENERGY,Electricity charge GB June 23,"25,587.59"
17-Aug-23,GLASGOW LIFE,Rent/Service charge Kelvin Hall,49079.14
24-Aug-23,RICHARD IRVIN LIMITED,PPM work and subcontractor cost July 23,44300.18
08-Aug-23,EDF ENERGY,July electricity - CB,27576.25
08-Aug-23,EDF ENERGY,July electricity - GB,25965.92
26/09/2023,ICAM ARCHIVE SYSTEMS,Equipment purchase plus delivery and training,"92,232.00"
26/09/2023,RICHARD IRVIN LIMITED,FM contract outstanding balance,"74,360.23"
14/09/2023,RICHARD IRVIN LIMITED,August 23 FM conract charge,"44,300.18"
30/09/2023,FROST AND SULLIVAN LTD,Subscription for 23/24,"37,650.00"
14/09/2023,EDF ENERGY,August electricity - CB,"29,988.82"
14/09/2023,JISC SERVICES LTD SUBSCRIPTION ACCOUNT,Subscription for 23/24,"28,993.80"
14/09/2023,EDF ENERGY,August electricity - GB,"26,459.16"
19/10/2023,RICHARD IRVIN LIMITED,September 23 FM conract charge,54651.74
31/10/2023,RICHARD IRVIN LIMITED,October 23 FM conract charge,54651.74
26/10/2023,IRIS SOFTWARE LIMITED,Implementation and Training on new HR system,41003.97
10/10/2023,EAST DUNBARTONSHIRE COUNCIL,Rent units 5 & 8 Macbride Avenue,35400
10/10/2023,ALDL,Receipt and distribution of UK legal deposit for the National Library of Scotland 1st Oct to 31st Dec 23,31004.26
10/10/2023,EDF ENERGY,September electricity charge - Causewayside,29327.99
09/11/2023,EDF ENERGY,October 2023 CB Electricty Cha ,25838.35
09/11/2023,SCOTTISH GOVERNMENT,Q2 2023/24 � Procurement Services Scottish Government,25485.25
23/11/2023,BONHAMS,purchase of 4 autograph letters,132880
23/11/2023,RICHARD IRVIN LIMITED,Extrat fan upgrade,34967.64
30/11/2023,EX LIBRIS,Alma/Primo Subscription ,85031.51
30/11/2023,MYNESTBOX LIMITED,REFUND ROYALTY FEE INV 8184 23 ,34596
07/12/2023,RICHARD IRVIN LIMITED,November 2023 - NLS contract,54651.74
21/12/2023,RICHARD IRVIN LIMITED,December 2023 - NLS contract,54651.74
14/12/2023,STEWART AND SKEELS LTD,purchase of prints,42000
18/01/2024,RICHARD IRVIN LIMITED,Upgrade and strip out works at 33 Salisbury Place,201438.01
11/01/2024,GLASGOW LIFE,Rent and Service Charge at Kelvin Hall,58783.86
31/01/2024,RICHARD IRVIN LIMITED,January 24 - NLS contract,54651.74
11/01/2024,ALDL,Receipt and onward distribution of legal deposit,30474.12
11/01/2024,EDF ENERGY,January electricity charge for George IV Bridge,27748.33
29/02/2024,RICHARD IRVIN LIMITED,Work on roof at GB,28009.13
15/02/2024,EDF ENERGY,January bill for GB,27816.24
29/02/2024,RICHARD IRVIN LIMITED,strip out and rewire of refuge system,26372.76
31/03/2024,RICHARD IRVIN LIMITED,strip out and upgrade at CB,163920.41
28/03/2024,EX LIBRIS,annual membership,157357.14
31/03/2024,RICHARD IRVIN LIMITED,reroofing and drainage at GB,141022.98
07/03/2024,AUTOMATED DOCUMENT SERVICES,"equipment supply, installation and training",84000.00
28/03/2024,GLASGOW LIFE,service change and occupancy fee KH,67369.30
28/03/2024,XMA SCOTLAND LTD,IT Equipment,65328.05
28/03/2024,RICHARD IRVIN LIMITED,March 24 contract fees,54651.74
28/03/2024,RICHARD IRVIN LIMITED,Feb 24 contract fees,54651.74
31/03/2024,RICHARD IRVIN LIMITED,Roof repairs LB,46747.69
31/03/2024,RICHARD IRVIN LIMITED,Refurbishment quarantine area CB,45927.88
14/03/2024,SCOTTISH GOVERNMENT,Procurement services,34946.41
28/03/2024,RICHARD IRVIN LIMITED,Annual maintenance,34572.00
31/03/2024,CAE TECHNOLOGY SERVICES LIMITED,IT equipment and support,33875.02
21/03/2024,BSI,Annual subscription,33656.18
